Chrom,n_markers,length_Mb,marker_Mb
1,339,82.459472,4.11111048588815
2,306,76.462061,4.00198472285491
3,343,93.164418,3.68166310017629
4,366,90.245664,4.05559651043179
5,325,81.211777,4.00188263335255
6,156,80.303593,1.94262789711041
7,297,88.407277,3.35945196004623
8,344,87.242343,3.94303944817255
